unique_id,ds,y
EMBASSY PARK_11KV LUMAX,2026-05-11 13:06:00,1.42
EMBASSY PARK_11KV LUMAX,2026-05-11 13:09:00,1.5
EMBASSY PARK_11KV LUMAX,2026-05-11 13:12:00,1.56
EMBASSY PARK_11KV LUMAX,2026-05-11 13:15:00,1.36
EMBASSY PARK_11KV LUMAX,2026-05-11 13:18:00,1.23
EMBASSY PARK_11KV LUMAX,2026-05-11 13:21:00,1.35
EMBASSY PARK_11KV LUMAX,2026-05-11 13:24:00,1.45
EMBASSY PARK_11KV LUMAX,2026-05-11 13:27:00,1.29
EMBASSY PARK_11KV LUMAX,2026-05-11 13:30:00,1.37
EMBASSY PARK_11KV LUMAX,2026-05-11 13:33:00,1.38
EMBASSY PARK_11KV LUMAX,2026-05-11 13:36:00,1.74
EMBASSY PARK_11KV LUMAX,2026-05-11 13:39:00,1.91
EMBASSY PARK_11KV LUMAX,2026-05-11 13:42:00,1.31
EMBASSY PARK_11KV LUMAX,2026-05-11 13:45:00,1.32
EMBASSY PARK_11KV LUMAX,2026-05-11 13:48:00,1.3
EMBASSY PARK_11KV LUMAX,2026-05-11 13:51:00,1.37
EMBASSY PARK_11KV LUMAX,2026-05-11 13:54:00,1.93
EMBASSY PARK_11KV LUMAX,2026-05-11 13:57:00,1.93
EMBASSY PARK_11KV LUMAX,2026-05-11 14:00:00,2.06
EMBASSY PARK_11KV LUMAX,2026-05-11 14:03:00,1.89
EMBASSY PARK_11KV LUMAX,2026-05-11 14:06:00,1.21
EMBASSY PARK_11KV LUMAX,2026-05-11 14:09:00,1.41
EMBASSY PARK_11KV LUMAX,2026-05-11 14:12:00,1.88
EMBASSY PARK_11KV LUMAX,2026-05-11 14:15:00,1.35
EMBASSY PARK_11KV LUMAX,2026-05-11 14:18:00,1.75
EMBASSY PARK_11KV LUMAX,2026-05-11 14:21:00,1.33
EMBASSY PARK_11KV LUMAX,2026-05-11 14:24:00,2.04
EMBASSY PARK_11KV LUMAX,2026-05-11 14:27:00,1.42
EMBASSY PARK_11KV LUMAX,2026-05-11 14:30:00,1.86
EMBASSY PARK_11KV LUMAX,2026-05-11 14:33:00,1.52
EMBASSY PARK_11KV LUMAX,2026-05-11 14:36:00,1.39
EMBASSY PARK_11KV LUMAX,2026-05-11 14:39:00,1.63
EMBASSY PARK_11KV LUMAX,2026-05-11 14:42:00,1.56
EMBASSY PARK_11KV LUMAX,2026-05-11 14:45:00,2.07
EMBASSY PARK_11KV LUMAX,2026-05-11 14:48:00,1.94
EMBASSY PARK_11KV LUMAX,2026-05-11 14:51:00,1.62
EMBASSY PARK_11KV LUMAX,2026-05-11 14:54:00,1.56
EMBASSY PARK_11KV LUMAX,2026-05-11 14:57:00,1.51
EMBASSY PARK_11KV LUMAX,2026-05-11 15:00:00,1.6
EMBASSY PARK_11KV LUMAX,2026-05-11 15:03:00,1.58
EMBASSY PARK_11KV LUMAX,2026-05-11 15:06:00,1.67
EMBASSY PARK_11KV LUMAX,2026-05-11 15:09:00,1.74
EMBASSY PARK_11KV LUMAX,2026-05-11 15:12:00,2.03
EMBASSY PARK_11KV LUMAX,2026-05-11 15:15:00,1.72
EMBASSY PARK_11KV LUMAX,2026-05-11 15:18:00,1.69
EMBASSY PARK_11KV LUMAX,2026-05-11 15:21:00,1.59
EMBASSY PARK_11KV LUMAX,2026-05-11 15:24:00,1.71
EMBASSY PARK_11KV LUMAX,2026-05-11 15:27:00,1.62
EMBASSY PARK_11KV LUMAX,2026-05-11 15:30:00,1.68
EMBASSY PARK_11KV LUMAX,2026-05-11 15:33:00,1.58
EMBASSY PARK_11KV LUMAX,2026-05-11 15:36:00,1.57
EMBASSY PARK_11KV LUMAX,2026-05-11 15:39:00,1.58
EMBASSY PARK_11KV LUMAX,2026-05-11 15:42:00,1.62
EMBASSY PARK_11KV LUMAX,2026-05-11 15:45:00,1.59
EMBASSY PARK_11KV LUMAX,2026-05-11 15:48:00,1.71
EMBASSY PARK_11KV LUMAX,2026-05-11 15:51:00,1.64
EMBASSY PARK_11KV LUMAX,2026-05-11 15:54:00,1.76
EMBASSY PARK_11KV LUMAX,2026-05-11 15:57:00,1.72
EMBASSY PARK_11KV LUMAX,2026-05-11 16:00:00,1.97
EMBASSY PARK_11KV LUMAX,2026-05-11 16:03:00,1.95
EMBASSY PARK_11KV LUMAX,2026-05-11 16:06:00,1.74
EMBASSY PARK_11KV LUMAX,2026-05-11 16:09:00,1.95
EMBASSY PARK_11KV LUMAX,2026-05-11 16:12:00,2.04
EMBASSY PARK_11KV LUMAX,2026-05-11 16:15:00,2.04
