unique_id,ds,y,IR,IY,IB,VRY,VYB,VBR,hour,day
,2026-11-05 02:03:00,2.1,114.0,106.0,114.0,10.9,10.8,10.9,2,3
,2026-11-05 02:03:00,1.46,75.2,81.5,78.3,10.9,10.9,10.9,2,3
,2026-11-05 02:03:00,262.0,13.7,14.5,13.3,11.2,11.2,11.2,2,3
,2026-11-05 02:03:00,1.36,73.0,70.0,75.0,10.9,10.9,10.9,2,3
,2026-11-05 02:06:00,1.39,75.0,70.8,75.7,11.0,10.9,11.0,2,3
,2026-11-05 02:06:00,1.43,86.3,92.7,91.2,10.9,11.0,10.9,2,3
,2026-11-05 02:06:00,1.46,79.0,79.1,75.3,10.9,10.8,10.9,2,3
,2026-11-05 02:06:00,280.0,14.3,15.0,13.7,11.3,11.3,11.3,2,3
,2026-11-05 02:06:00,2.1,115.0,107.0,114.0,10.9,10.8,10.9,2,3
,2026-11-05 02:09:00,1.37,74.1,73.0,71.0,10.9,10.8,10.9,2,3
,2026-11-05 02:09:00,1.37,70.4,76.2,73.5,10.9,10.9,10.9,2,3
,2026-11-05 02:09:00,2.1,115.0,108.0,115.0,10.9,10.9,10.9,2,3
,2026-11-05 02:09:00,276.0,14.7,15.6,14.2,11.2,11.2,11.3,2,3
,2026-11-05 02:09:00,1.35,72.7,69.9,74.6,11.0,10.9,11.0,2,3
,2026-11-05 02:12:00,1.34,72.1,69.2,73.5,10.9,10.9,11.0,2,3
,2026-11-05 02:12:00,1.37,74.6,73.3,71.3,10.9,10.8,10.8,2,3
,2026-11-05 02:12:00,2.09,116.0,108.0,114.0,10.8,10.8,10.9,2,3
,2026-11-05 02:12:00,276.0,14.7,15.6,14.2,11.2,11.2,11.2,2,3
,2026-11-05 02:12:00,1.46,70.4,76.2,73.5,10.9,10.9,10.9,2,3
,2026-11-05 02:15:00,1.4,76.3,76.1,73.9,10.9,10.8,10.9,2,3
,2026-11-05 02:15:00,2.07,114.0,107.0,114.0,10.9,10.9,10.9,2,3
,2026-11-05 02:15:00,1.44,76.7,83.4,80.1,10.9,10.9,10.9,2,3
,2026-11-05 02:15:00,269.0,14.2,14.7,13.9,11.3,11.3,11.3,2,3
,2026-11-05 02:15:00,1.35,72.3,68.6,74.7,11.0,10.9,11.0,2,3
,2026-11-05 02:18:00,1.35,73.1,68.2,74.5,11.0,10.9,11.0,2,3
,2026-11-05 02:18:00,2.08,114.0,106.0,112.0,10.9,10.9,10.9,2,3
,2026-11-05 02:18:00,1.54,76.7,83.4,80.1,10.9,10.9,10.9,2,3
,2026-11-05 02:18:00,1.4,75.2,73.8,72.8,10.9,10.8,10.9,2,3
,2026-11-05 02:18:00,286.0,14.2,14.7,13.9,11.2,11.2,11.3,2,3
,2026-11-05 02:21:00,1.38,74.2,75.2,71.3,10.9,10.8,10.9,2,3
,2026-11-05 02:21:00,1.56,74.1,80.5,76.9,10.9,10.9,10.9,2,3
,2026-11-05 02:21:00,2.07,114.0,106.0,113.0,10.9,10.8,10.9,2,3
,2026-11-05 02:21:00,285.0,15.0,15.9,14.9,11.2,11.2,11.2,2,3
,2026-11-05 02:21:00,1.32,71.0,67.8,73.2,11.0,10.9,11.0,2,3
,2026-11-05 02:24:00,1.32,70.5,67.3,72.2,11.0,10.9,11.0,2,3
,2026-11-05 02:24:00,2.05,115.0,109.0,114.0,10.9,10.8,10.9,2,3
,2026-11-05 02:24:00,1.46,75.7,81.6,79.4,10.9,11.0,10.9,2,3
,2026-11-05 02:24:00,1.39,75.0,73.4,72.0,10.9,10.8,10.9,2,3
,2026-11-05 02:24:00,284.0,15.1,16.1,14.6,11.3,11.3,11.3,2,3
,2026-11-05 02:27:00,1.53,75.7,81.6,79.4,11.0,11.0,10.9,2,3
,2026-11-05 02:27:00,2.05,117.0,109.0,115.0,10.9,10.9,11.0,2,3
,2026-11-05 02:27:00,284.0,15.1,16.1,14.6,11.3,11.3,11.3,2,3
,2026-11-05 02:27:00,1.41,75.8,75.8,73.5,10.9,10.9,10.9,2,3
,2026-11-05 02:27:00,1.32,70.8,66.6,73.1,11.0,11.0,11.0,2,3
,2026-11-05 02:30:00,1.4,75.1,75.9,71.4,10.9,10.8,10.9,2,3
,2026-11-05 02:30:00,291.0,14.7,15.6,14.3,11.1,11.1,11.1,2,3
